name,latitude,longitude,time_frame,menu_items
Bufalina Due,30.34107218,-97.73839426,4PM - 5:30PM ,$5 house wine; $5 draft beers; half off pies; half off wine bottles under $100
Drink.Well,30.31725274,-97.72062844,3PM - 5:30PM ,50% off all wines; $7 classic cocktails; $4 drafts; $18 happy hour meal
Fonda San Miguel,30.3255834,-97.74336432,5PM - 7PM Mon - Thur,(bar/atrium only) 1/2 price quesadillas & tostada compuestas; $1 off tequila & tequila cocktails
Foreign & Domestic,30.31709135,-97.71963124,5PM - 6:30PM ,"half off wine by the glass and austin beers; $8 cheeseburger; $6 zeppole; $4 onion rings, & popovers"
Hank’s,30.31244168,-97.69298249,3PM - 6:30PM Daily,$1 off beer; $6 frozen cocktails & tap cocktails; $6 tap wine; $3 off appetizers
Jack Allen’s,30.3613415,-97.7395144,3PM - 7PM Mon - Thur,Half off all appetizers & drink specials
Jack And Ginger’s,30.40122489,-97.7229161,3PM - 7PM,$12 pint & pretzel; $8 select beer flights
Lala’s Little Nugget,30.34460973,-97.736286,4PM - 7PM,"$2 domestics (bud, bud light, miller lite, coors light, & michelob ultra); $3 tall boys (lone star, coors original); $3 well drinks"
Lavaca Street Rock Rose,30.40058763,-97.72315875,3PM - 7PM,$3 select bottles & cans; $5 well drinks; $6 house wines & frozen margaritas
Mario’s Seafood,30.33757575,-97.70201614,11AM - 10PM,"Mon: half price aldos & micheladas; Tues: half price tacos and cantaritos; Wed: half price camarones a la diabla and margaritas; Thurs: half price wings and Draft Domestic Beer Pitchers; Fri: $3 off mojarra, half price mojitos 11am-12am, and half price margaritas 7 to 9pm"
Punch Bowl Social,30.40005876,-97.72543164,4PM - 7PM Sun - Fri,drinks & bites ranging from $3-7 and 1/2 off all available activities
The Backspace,30.35293661,-97.72509027,5PM - 6:30PM Tue - Sat,1/2 off antipasti & 1/2 off beer & wine by the glass
The Brass Tap,30.50909271,-97.67749075,4PM - 7PM,"$1.50 off all draft beer, house wines, draft cocktails, & well drinks"
The Peached Tortilla,30.33081602,-97.74019413,5PM - 7PM Tue - Sun,"social hour, patio only; $5 select beers; $6 select glasses of wine; $6 select cocktails; $4 select tacos; $5 select snacks & $9 social burger"
Truluck’s,30.39526334,-97.74539298,4:30PM - 6PM Sun - Thur,25% off all spirits under $25 & select wines by glass
Tumble 22,30.34806659,-97.73527881,4PM - 6PM Daily,"$4 deviled eggs, dirty fries, loaded mac-n-cheese, 2pc jumbo chicken tenders, chicken oysters on a stick, bone-in chicken thigh, breast, hot chicken salad; $5 o.g. sandwich, southern sandwich, $1 oysters on the half shell, $3 slices of pine, $4 lemon meringue, $4 local drafts, $2 off signature sips & glasses of wine"
Uchiko,30.31083146,-97.73996581,4PM - 6:30PM ,$5-9 tastings; $6-9 makimono; $3.5-10 nigiri; $6 okashi
Yard Bar,30.34306306,-97.73913159,5PM - 6PM ,"1/2 off backyard burgers, shared snacks, rescue me cocktails; $2 off wine & spirits; $4 draft beers"
Black Sheep Lodge,30.24832212,-97.77112383,All Day Daily,different specials every day
Café No Sé,30.24710962,-97.75041925,6PM - 8PM,"$2 off beer, wine, & menu cocktails - rose all day - 25% off bottles of rose every day"
East Side King,30.25691638,-97.72338662,4PM - 6PM,classics menu on special
El Alma,30.26010553,-97.75563542,3PM - 6PM,$5 beers; $5 sangria; $6-7 margaritas; discounted appetizers
Elizabeth St Cafe,30.2498041,-97.75468826,3PM - 6PM,$2 off all alcohol; 1/2 priced appetizers & banh mi
Freddo Atx,30.23917897,-97.75354201,4PM to Close Mon - Fri,20% off select bottles of wine; $1 off all draft beers; $5.50 froses; Tues: $6 pitchers of select beer; $2.75 mimosas every sunday!
Fresa's South First,30.24775887,-97.7550296,3PM - 6PM,"$2 off all aguas frescas, botanas, beer, wine & margaritas (all orders) - HH specials daily all day for guests sitting at bar"
Gibson Street Bar,30.25502694,-97.76190021,4PM - 7PM,$3 wells; $4 select liquors; $4 local drafts; $4 el jimador silver; $5 tullamore dew
Guero’s Taco Bar,30.2490925,-97.75020666,4:30PM - 6:30PM Mon - Fri; 9PM - 11PM Sat&Sun; 3PM - 5PM Sat&Sun,drink & appetizer specials
Hotel San Jose,30.25065989,-97.74955024,12PM - 5PM Mon - Thur,	$1 off beers; 20% off wine bottles; 20% off snacks
Irie Bean Coffee Bar,30.24757056,-97.77488055,4PM - 8PM Mon - Fri; 2PM - 8PM Sat&Sun,half priced bottles every tuesday ($5 - 24)
Juliet Italian Kitchen,30.26168324,-97.76003045,3PM - 6PM,$6 wines by the glass; $5 draft beer; $6 juliet cocktails; special priced antipasti
June’s All Day,30.24632495,-97.75120714,4PM - 6PM,25% off all food; half off sparkling wine; $2 off all other drinks; Mon: 50% off all sparkling wine
Lenoir,30.24698534,-97.75585768,5PM - 6PM Thur - Sun,half off bottles of wine under $80 outside
Loro,30.24780476,-97.77127507,2PM - 5PM,"half off boozy slushies, beer, & wine; $4-9 select menu items"
Neighborhood Sushi,30.24649429,-97.75112247,3PM - 5PM ,$10 beer & a sake; $2 off all alcoholic drinks; half-off all tempura
Odd Duck,30.25467698,-97.76205177,5PM - 6PM,$6 draft palomas; half-priced bottles of wine (under $100); half-priced beer bombers; $1 off all beer
Perla's,30.24999843,-97.75010928,3PM - 6PM,50 cents off oysters; $2 off beverages
Salt Traders Coastal Cooking,30.26535513,-97.78095468,3:30PM - 9PM Mon; 3:30PM - 6:30PM Tue - Fri,drink specials; $1 gulf oysters; $5 off beginnings
Thai Fresh,30.24790158,-97.76169452,4PM - 6PM,"$2 off opened wines by the glass; 50% off take away wine bottles all day, everyday; discounted drinks, first bites, 25% off selected desserts"
Uchiko,30.31082693,-97.73996355,4PM - 6:30PM ,"$4-7 sake, wine, & beer; $3-11 dishes; $7 seasonal desserts"
Buenos Aires Cafe,30.30925867,-97.93897496,3PM - 6PM,"discounted tapas, salads, sandwiches, & platos; half price house cocktails & bottles of wine under $50; $3 off wine glasses; $2 off hand-crafted cocktails; $1 off all beers"
Cafe Blue,30.30942842,-97.93995398,All Day Mon; 3PM - 6PM Tue - Fri,"$3 off appetizers; $3 off draft beer, wine by the glass, signature cocktails; $3 off half dozen oysters; plus daily specials"
Carve,30.25648397,-97.87042794,3PM - 6:30PM ,"$2 off bar bites; ""CARVE pour"" for wines on tap of by glass, mixology cocktails, & beer"
